ticker    ,sector                ,region                     ,rating_score,upside_score,consensus_strength_score,conviction_score  ,pt_momentum_score ,analyst_consensus_score,consensus_grade
SO        ,Utilities             ,United States and Canada   ,50.0        ,50.0        ,67.34693877551021       ,13.043478260869565,49.96660673002825 ,47.9                   ,D
74SW      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,83.13725490196077       ,100.0             ,50.0              ,64.1                   ,C
DASH      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,44.64285714285714       ,76.74418604651163 ,50.00461082735861 ,52.9                   ,C
DUK       ,Utilities             ,United States and Canada   ,50.0        ,50.0        ,82.6086956521739        ,50.0              ,49.99675971992231 ,56.5                   ,C
LBRT      ,Energy                ,United States and Canada   ,50.0        ,50.0        ,60.0                    ,50.0              ,50.12218421052632 ,52.0                   ,C
UPS       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,50.0                    ,33.333333333333336,50.04275690088949 ,47.5                   ,D
MMM       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,43.49030470914127       ,44.44444444444444 ,50.00538020086084 ,47.9                   ,D
NOC       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,64.88888888888889       ,52.17391304347826 ,50.02568566524496 ,53.3                   ,C
HWM       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,57.916666666666664      ,86.95652173913044 ,50.10844077201241 ,57.1                   ,C
BRZE      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,33.33333333333334       ,100.0             ,49.99521794419688 ,54.2                   ,C
CDNS      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,65.38461538461539       ,80.76923076923077 ,49.986274826732135,57.7                   ,C
SHW       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,59.23076923076923       ,59.25925925925926 ,50.00308571976585 ,53.2                   ,C
OVS       ,Consumer Discretionary,Europe                     ,50.0        ,50.0        ,66.99029126213591       ,75.0              ,50.204081632653065,57.2                   ,C
WM        ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,65.74803149606299       ,70.37037037037037 ,50.02068797663475 ,56.2                   ,C
TT        ,Industrials           ,Europe                     ,50.0        ,50.0        ,62.039045553145336      ,37.50000000000001 ,49.96629461538493 ,50.5                   ,C
MAR       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,47.63513513513513       ,37.03703703703704 ,50.10954402300425 ,47.6                   ,D
CRH       ,Materials             ,Europe                     ,50.0        ,50.0        ,51.42857142857143       ,83.33333333333333 ,50.03566101857135 ,55.3                   ,C
ENGCONB   ,Industrials           ,Europe                     ,50.0        ,50.0        ,84.21052631578948       ,66.66666666666666 ,50.0              ,59.3                   ,C
FCX       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,20.737327188940085      ,76.19047619047619 ,50.30821567423778 ,48.1                   ,D
ABNB      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,48.275862068965516      ,29.54545454545455 ,50.06975208188933 ,46.6                   ,D
DVA       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,56.52173913043478       ,0.0               ,49.97404844290657 ,43.8                   ,D
ABX       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,42.99836509820607       ,81.81818181818181 ,50.08371556797388 ,53.4                   ,C
ELV       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,53.25                   ,66.66666666666666 ,50.033248078557655,53.2                   ,C
KURN      ,Health Care           ,Europe                     ,50.0        ,50.0        ,100.0                   ,100.0             ,50.0              ,67.5                   ,B
EMR       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,53.24675324675325       ,62.06896551724139 ,50.05546157853053 ,52.5                   ,C
