ticker    ,sector                ,region                     ,current_ratio_score,quick_ratio_score,cash_ratio_score,debt_equity_score  ,debt_assets_score   ,interest_coverage_score,leverage_liquidity_score,leverage_grade
MDT       ,Health Care           ,Europe                     ,50.0               ,50.0             ,50.0            ,79.53553271441203  ,59.606784467713794  ,0.0                    ,47.8                    ,D
ADBE      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,80.93435429751355  ,71.826688364524     ,0.0                    ,50.6                    ,C
COP       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,86.96010041772126  ,74.19367975240267   ,0.0                    ,52.2                    ,C
PH        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,76.90453582645533  ,59.796907845663526  ,0.0                    ,47.3                    ,D
CRWD      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,92.07673982299463  ,88.66728800976375   ,69.81447352254577      ,70.1                    ,B
BMY       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,30.81082686306059   ,0.0                    ,26.2                    ,F
ARM       ,Information Technology,Europe                     ,50.0               ,50.0             ,50.0            ,98.26485353609202  ,95.0179131213614    ,50.0                   ,68.7                    ,B
SION      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,98.04992199687987  ,93.43876177658143   ,50.0                   ,68.3                    ,B
VRTX      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,96.4461859724389   ,90.29487600518347   ,0.0                    ,57.3                    ,C
CEG       ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.85410049979072  ,78.75571552734006   ,0.0                    ,51.3                    ,C
HCA       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,4.985045284223622   ,0.0                    ,21.0                    ,F
SBUX      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,0.0                 ,0.0                    ,40.0                    ,D
ADP       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,50.411549235078645 ,78.43891525652388   ,0.0                    ,45.8                    ,D
MELI      ,Consumer Discretionary,Latin America and Caribbean,50.0               ,50.0             ,50.0            ,47.2994713858883   ,65.87255913637084   ,0.0                    ,42.6                    ,D
SPOT      ,Communication Services,Europe                     ,50.0               ,50.0             ,50.0            ,87.47509584568714  ,78.38397706759511   ,0.0                    ,53.2                    ,C
ENB       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,50.16087835022947  ,41.19880281462195   ,0.0                    ,38.3                    ,D
MCK       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,87.6364120308757    ,0.0                    ,57.5                    ,C
MO        ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,11.426500270062823  ,0.0                    ,42.3                    ,D
CMCSA     ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,59.27200933460062  ,50.503078385190705  ,0.0                    ,42.0                    ,D
CVS       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,63.50191469694968  ,59.066406018600794  ,0.0                    ,44.5                    ,D
AEM       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,97.94846932816202  ,94.65527084718654   ,0.0                    ,58.5                    ,C
GD        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,83.87043164272009  ,76.11846814602721   ,0.0                    ,52.0                    ,C
SNPS      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,83.18045803869406  ,62.95080338898559   ,0.0                    ,49.2                    ,D
CVNA      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,9.933404054691186   ,0.0                    ,22.0                    ,F
SO        ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,39.760229772227376 ,42.93549386967902   ,0.0                    ,36.5                    ,D
NKE       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,72.19657408108175  ,62.33836354192297   ,0.0                    ,46.9                    ,D
NOC       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,59.89535644211903  ,53.412751473895334  ,0.0                    ,42.7                    ,D
DUK       ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,44.43707403360907  ,42.6876780989895    ,0.0                    ,37.4                    ,D
UPS       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,48.92990105317645  ,54.23861852433281   ,0.0                    ,40.6                    ,D
HWM       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,74.59376372419851  ,58.75320847989352   ,0.0                    ,46.7                    ,D
MMM       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,57.17430019062908   ,0.0                    ,31.4                    ,F
WM        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,30.04913949783472   ,0.0                    ,26.0                    ,F
DASH      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,97.71233461374307  ,94.78396263137408   ,50.0                   ,68.5                    ,B
SHW       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,31.936181376573025  ,0.0                    ,26.4                    ,F
MAR       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,26.738790008402724  ,0.0                    ,45.3                    ,D
CDNS      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,81.26611006266431  ,63.41528979952042   ,0.0                    ,48.9                    ,D
TT        ,Industrials           ,Europe                     ,50.0               ,50.0             ,50.0            ,76.02478996647477  ,66.58882099797982   ,0.0                    ,48.5                    ,D
FCX       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,88.72055042046007  ,77.80684801633606   ,0.0                    ,53.3                    ,C
EMR       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.40499885046145  ,59.01546563721285   ,0.0                    ,47.3                    ,D
ELV       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,74.21667551779076  ,65.73351641300722   ,0.0                    ,48.0                    ,D
CRH       ,Materials             ,Europe                     ,50.0               ,50.0             ,50.0            ,77.29540481400437  ,61.561258965088015  ,0.0                    ,47.8                    ,D
ABX       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,94.73177772432042  ,86.20501406794608   ,0.0                    ,56.2                    ,C
TDG       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,0.0                 ,0.0                    ,40.0                    ,D
GLW       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,75.63685636856368  ,63.534342888047604  ,0.0                    ,47.8                    ,D
ORLY      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,33.52198641845499   ,0.0                    ,46.7                    ,D
CMI       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.34052588138192  ,69.534717818643     ,0.0                    ,49.4                    ,D
DELL      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,60.23625009404861   ,0.0                    ,52.0                    ,C
ABNB      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,90.90981138056745  ,86.31852664726371   ,50.0                   ,65.4                    ,B
ECL       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,68.58758476311837  ,53.75438855090719   ,0.0                    ,44.5                    ,D
CTAS      ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,81.11152856524808  ,66.22881476686575   ,0.0                    ,49.5                    ,D
ITW       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,18.82222892171641  ,32.98267737439438   ,0.0                    ,30.4                    ,F
MNST      ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,97.56847697888902  ,92.96241525879346   ,50.0                   ,68.1                    ,B
REGN      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,96.66276027471929  ,90.27129668373968   ,0.0                    ,57.4                    ,C
GM        ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,33.451745692940996 ,41.49157673871626   ,0.0                    ,35.0                    ,D
WDC       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,70.80625752105895  ,56.684759320097136  ,0.0                    ,45.5                    ,D
RCL       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,10.277957336780863 ,29.794982465605624  ,0.0                    ,28.0                    ,F
WMB       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,39.175651392632524 ,37.928647399691926  ,0.0                    ,35.4                    ,D
MDLZ      ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.0705047357618   ,66.15910185847555   ,0.0                    ,48.6                    ,D
CI        ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,74.15965537586176  ,74.36185295193128   ,0.0                    ,49.7                    ,D
FDX       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,55.57455296715823  ,46.62603991920299   ,0.0                    ,40.4                    ,D
SNOW      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,70.2295585770162   ,62.844700097631836  ,100.0                  ,66.6                    ,B
SE        ,Consumer Discretionary,Asia / Pacific             ,50.0               ,50.0             ,50.0            ,83.78416953894862  ,77.21522470030457   ,0.0                    ,52.2                    ,C
CNQ       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,82.86966359067239  ,70.29750643102604   ,0.0                    ,50.6                    ,C
EPD       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,63.594138353745635 ,47.56408096620361   ,0.0                    ,42.2                    ,D
STX       ,Information Technology,Asia / Pacific             ,50.0               ,50.0             ,50.0            ,100.0              ,16.28754829864142   ,0.0                    ,43.3                    ,D
WBD       ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,58.969221668861024 ,48.58693573068095   ,0.0                    ,41.5                    ,D
TEL       ,Information Technology,Europe                     ,50.0               ,50.0             ,50.0            ,83.299293008641    ,68.21298991268291   ,0.0                    ,50.3                    ,C
JCI       ,Industrials           ,Europe                     ,50.0               ,50.0             ,50.0            ,71.20580515670835  ,63.131605999103826  ,0.0                    ,46.9                    ,D
HLT       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,9.189262801113674   ,0.0                    ,41.8                    ,D
SLB       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,80.61297539149889  ,66.79523858179218   ,0.0                    ,49.5                    ,D
PWR       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,79.6310545741629   ,70.0346127064546    ,0.0                    ,49.9                    ,D
COR       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,84.77091232797551   ,0.0                    ,37.0                    ,D
MRVL      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,89.21799359499516  ,73.13036699745106   ,0.0                    ,52.5                    ,C
CL        ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,33.69063941169139   ,0.0                    ,26.7                    ,F
