ticker    ,sector                ,region                     ,upside_score       ,spread_score        ,coverage_score,rating_score,price_target_score,price_target_grade
RCL       ,Consumer Discretionary,United States and Canada   ,56.174695763841086 ,30.437302996268244  ,80.0          ,83.25       ,59.9              ,C
WMB       ,Energy                ,United States and Canada   ,45.466016788518814 ,51.2591389114541    ,70.0          ,80.49999    ,58.8              ,C
MDLZ      ,Consumer Staples      ,United States and Canada   ,52.9664570230608   ,58.07127882599581   ,80.0          ,78.75       ,64.8              ,C
CI        ,Health Care           ,United States and Canada   ,55.664784949528354 ,60.32474927445721   ,76.666664     ,86.0        ,67.1              ,B
FDX       ,Industrials           ,United States and Canada   ,32.740497977372534 ,49.704718021935236  ,93.333336     ,75.75001    ,57.7              ,C
SNOW      ,Information Technology,United States and Canada   ,71.63698492674632  ,0.0                 ,100.0         ,85.74999    ,62.2              ,C
SE        ,Consumer Discretionary,Asia / Pacific             ,96.45024616116692  ,27.524295832647017  ,100.0         ,92.49999    ,79.1              ,B
CNQ       ,Energy                ,United States and Canada   ,43.01085768756829  ,60.24272860431053   ,70.0          ,74.0        ,58.9              ,C
EPD       ,Energy                ,United States and Canada   ,42.11415062478893  ,66.56534954407294   ,66.66667      ,68.75       ,58.5              ,C
STX       ,Information Technology,Asia / Pacific             ,33.394367300507135 ,27.964932716181835  ,73.333336     ,85.0        ,50.3              ,C
WBD       ,Communication Services,United States and Canada   ,30.235984760127526 ,47.51574527641708   ,50.0          ,65.5        ,45.6              ,D
TEL       ,Information Technology,Europe                     ,47.56616830099259  ,51.8692170449359    ,56.666668     ,83.25       ,57.6              ,C
JCI       ,Industrials           ,Europe                     ,51.48503620975483  ,75.56932204868684   ,60.000004     ,76.25001    ,64.2              ,C
HLT       ,Consumer Discretionary,United States and Canada   ,30.7739183424741   ,65.09888648828321   ,83.33333      ,70.25       ,57.8              ,C
SLB       ,Energy                ,United States and Canada   ,37.87645338469222  ,56.60175476139525   ,96.666664     ,88.25001    ,64.4              ,C
PWR       ,Industrials           ,United States and Canada   ,35.83222043682676  ,44.72415640064275   ,83.33333      ,79.99999    ,56.4              ,C
COR       ,Health Care           ,United States and Canada   ,44.17256117608378  ,64.77384810483302   ,50.0          ,82.25       ,58.1              ,C
MRVL      ,Information Technology,United States and Canada   ,83.6648990526694   ,17.97166293810588   ,100.0         ,81.75       ,70.1              ,B
CL        ,Consumer Staples      ,United States and Canada   ,38.60006835988854  ,83.43587316611453   ,63.333332     ,75.0        ,62.0              ,C
VRT       ,Industrials           ,United States and Canada   ,46.741837638237335 ,55.9147685525349    ,80.0          ,88.0        ,63.9              ,C
CSX       ,Industrials           ,United States and Canada   ,44.316628352490426 ,58.62068965517242   ,80.0          ,82.75       ,62.7              ,C
MSI       ,Information Technology,United States and Canada   ,57.54363484574911  ,77.78387958363496   ,33.333336     ,85.74999    ,63.4              ,C
CP        ,Industrials           ,United States and Canada   ,56.02007793408625  ,69.28868634832574   ,66.66667      ,85.0        ,67.3              ,B
RSG       ,Industrials           ,United States and Canada   ,51.020572620401964 ,61.604095563139936  ,80.0          ,77.0        ,64.7              ,C
NSC       ,Industrials           ,United States and Canada   ,40.98016951679684  ,71.44135154664006   ,63.333332     ,62.0        ,57.3              ,C
LHX       ,Industrials           ,United States and Canada   ,36.83827538211882  ,66.2298678058073    ,60.000004     ,83.25       ,58.1              ,C
NET       ,Information Technology,United States and Canada   ,63.66623831846182  ,0.6352826193190997  ,100.0         ,71.5        ,56.7              ,C
AEP       ,Utilities             ,United States and Canada   ,41.063317402097    ,73.32444148049349   ,60.000004     ,65.25       ,57.8              ,C
