ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
T         ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,59.754626741526295 ,4.0         ,57.1                         ,C
VZ        ,Communication Services,United States and Canada   ,71.38382117080995 ,36.992731412558015  ,50.0            ,43.09553401275996  ,88.0        ,56.8                         ,C
ANET      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,99.80109676922324  ,0.0         ,62.5                         ,C
ECOR      ,Materials             ,Europe                     ,50.0              ,0.0                 ,50.0            ,92.845419964415    ,0.0         ,36.4                         ,D
PDD       ,Consumer Discretionary,Europe                     ,100.0             ,50.0                ,50.0            ,98.871509678748    ,0.0         ,62.3                         ,C
LOW       ,Consumer Discretionary,United States and Canada   ,80.97142582497207 ,53.96096440872561   ,50.0            ,100.0              ,100.0       ,73.7                         ,B
DTM       ,Energy                ,United States and Canada   ,63.20754716981132 ,30.320512820512818  ,50.0            ,75.3741782067422   ,16.0        ,47.1                         ,D
GILD      ,Health Care           ,United States and Canada   ,80.65299776503741 ,46.01707684580612   ,50.0            ,52.679344625723104 ,40.0        ,55.6                         ,C
ADI       ,Information Technology,United States and Canada   ,75.13682170542634 ,44.467135381753366  ,50.0            ,91.1667787939052   ,84.0        ,66.2                         ,B
NOW       ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,92.09768619696813  ,0.0         ,61.3                         ,C
PFE       ,Health Care           ,United States and Canada   ,73.35273446079509 ,21.380589326189988  ,50.0            ,74.60629550530903  ,68.0        ,55.1                         ,C
BVB       ,Communication Services,Europe                     ,50.0              ,100.0               ,50.0            ,95.18779648082143  ,4.0         ,62.4                         ,C
SCCO      ,Materials             ,United States and Canada   ,69.85055485762143 ,30.212248795520637  ,50.0            ,74.7508533408384   ,8.0         ,47.4                         ,D
BSX       ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,82.99019830629156  ,0.0         ,59.9                         ,C
NVMI      ,Information Technology,Africa / Middle East       ,100.0             ,50.0                ,50.0            ,91.51747701527285  ,0.0         ,61.2                         ,C
SYK       ,Health Care           ,United States and Canada   ,87.53685865932769 ,64.2429022082019    ,50.0            ,77.18975154276114  ,68.0        ,69.7                         ,B
UNP       ,Industrials           ,United States and Canada   ,77.13881019830029 ,37.25526641883519   ,50.0            ,35.93250444049734  ,80.0        ,56.0                         ,C
DE        ,Industrials           ,United States and Canada   ,82.8923811418341  ,37.56976744186046   ,50.0            ,17.194088770971916 ,24.0        ,46.3                         ,D
HON       ,Industrials           ,United States and Canada   ,78.32627500913158 ,41.71912013536379   ,50.0            ,43.939947462728114 ,64.0        ,56.2                         ,C
PANW      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,98.22180188470256  ,0.0         ,62.2                         ,C
ADBE      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,80.93435429751355  ,4.0         ,60.2                         ,C
NYT       ,Communication Services,United States and Canada   ,86.94061248948161 ,100.0               ,50.0            ,99.17376241648117  ,32.0        ,76.4                         ,B
LMT       ,Industrials           ,United States and Canada   ,71.72727272727273 ,29.536977491961412  ,50.0            ,0.0                ,96.0        ,49.7                         ,D
ETN       ,Industrials           ,Europe                     ,82.48239436619718 ,41.733668341708544  ,50.0            ,82.03910564279676  ,68.0        ,63.6                         ,C
NEM       ,Materials             ,United States and Canada   ,91.37824474660074 ,100.0               ,50.0            ,89.9708835674826   ,4.0         ,71.9                         ,B
MDT       ,Health Care           ,Europe                     ,75.03798867246857 ,28.810182623132263  ,50.0            ,79.53553271441203  ,100.0       ,62.9                         ,C
CEG       ,Utilities             ,United States and Canada   ,92.03747072599532 ,0.0                 ,50.0            ,77.85410049979072  ,12.0        ,46.5                         ,D
COP       ,Energy                ,United States and Canada   ,78.30932012606934 ,36.782563570316555  ,50.0            ,86.96010041772126  ,8.0         ,53.0                         ,C
AVON      ,Industrials           ,Europe                     ,50.0              ,53.61111111111112   ,50.0            ,83.72325534893021  ,4.0         ,49.1                         ,D
PH        ,Industrials           ,United States and Canada   ,88.04429730663453 ,77.0193401592719    ,50.0            ,76.90453582645533  ,40.0        ,68.8                         ,B
CRWD      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,92.07673982299463  ,0.0         ,61.3                         ,C
CNR       ,Energy                ,United States and Canada   ,85.65668783388772 ,53.134223471539     ,50.0            ,95.4569318242202   ,4.0         ,59.6                         ,C
VRTX      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,96.4461859724389   ,0.0         ,62.0                         ,C
ARM       ,Information Technology,Europe                     ,100.0             ,50.0                ,50.0            ,98.26485353609202  ,0.0         ,62.2                         ,C
BMY       ,Health Care           ,United States and Canada   ,81.3102623514463  ,61.19576084783043   ,50.0            ,0.0                ,76.0        ,57.0                         ,C
SPOT      ,Communication Services,Europe                     ,100.0             ,50.0                ,50.0            ,87.47509584568714  ,0.0         ,60.6                         ,C
HCA       ,Health Care           ,United States and Canada   ,94.75061576354679 ,100.0               ,50.0            ,0.0                ,28.0        ,62.9                         ,C
WK        ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
MELI      ,Consumer Discretionary,Latin America and Caribbean,100.0             ,50.0                ,50.0            ,47.2994713858883   ,4.0         ,55.2                         ,C
ADP       ,Industrials           ,United States and Canada   ,70.43794740774662 ,37.513249082755806  ,50.0            ,50.411549235078645 ,100.0       ,59.5                         ,C
ABS       ,Information Technology,Europe                     ,56.13469985358711 ,31.662216288384514  ,50.0            ,95.71357071357072  ,52.0        ,54.1                         ,C
CMCSA     ,Communication Services,United States and Canada   ,85.31980245723922 ,85.98564102564103   ,50.0            ,59.27200933460062  ,76.0        ,73.1                         ,B
SBUX      ,Consumer Discretionary,United States and Canada   ,42.534741661379215,17.622862091361764  ,50.0            ,100.0              ,60.000004   ,49.0                         ,D
CVS       ,Health Care           ,United States and Canada   ,80.4970659302727  ,37.12684365781711   ,50.0            ,63.50191469694968  ,4.0         ,49.5                         ,D
CVNA      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,0.0                ,0.0         ,47.5                         ,D
PEY       ,Energy                ,United States and Canada   ,64.60404396593765 ,27.064808436224897  ,50.0            ,83.16732961513442  ,4.0         ,46.0                         ,D
MCK       ,Health Care           ,United States and Canada   ,96.02547211242863 ,100.0               ,50.0            ,100.0              ,76.0        ,85.4                         ,A
ENB       ,Energy                ,United States and Canada   ,35.25485638019309 ,10.623013035680462  ,50.0            ,50.16087835022947  ,4.0         ,29.6                         ,F
MO        ,Consumer Staples      ,United States and Canada   ,62.229508196721305,26.58564814814815   ,50.0            ,100.0              ,72.0        ,58.0                         ,C
AEM       ,Materials             ,United States and Canada   ,89.65627751873079 ,100.0               ,50.0            ,97.94846932816202  ,4.0         ,72.7                         ,B
EDR       ,Materials             ,United States and Canada   ,50.0              ,50.0                ,50.0            ,91.6838686593455   ,0.0         ,48.8                         ,D
NKE       ,Consumer Discretionary,United States and Canada   ,52.97147385103011 ,20.850884582982307  ,50.0            ,72.19657408108175  ,100.0       ,54.3                         ,C
GD        ,Industrials           ,United States and Canada   ,81.29300118623962 ,60.887761572606216  ,50.0            ,83.87043164272009  ,100.0       ,73.1                         ,B
ENEA      ,Information Technology,Europe                     ,100.0             ,50.0                ,50.0            ,94.53542114909554  ,4.0         ,62.3                         ,C
SNPS      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,83.18045803869406  ,0.0         ,60.0                         ,C
SO        ,Utilities             ,United States and Canada   ,68.07692307692308 ,0.0                 ,50.0            ,39.760229772227376 ,100.0       ,48.0                         ,D
74SW      ,Information Technology,United States and Canada   ,50.0              ,50.0                ,50.0            ,78.3305834073698   ,4.0         ,47.3                         ,D
DASH      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,97.71233461374307  ,0.0         ,62.2                         ,C
DUK       ,Utilities             ,United States and Canada   ,100.0             ,50.0                ,50.0            ,44.43707403360907  ,76.0        ,65.6                         ,B
