ticker     ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
ATS        ,Information Technology,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
EMBRACB    ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SKISB      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
LDA        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
LAMDA      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
TIN        ,Materials             ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
RUSTA      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MTGB       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ANODB      ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
FGP        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ZUGN       ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
IDIA       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
NORCO      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
74SW       ,Information Technology,United States and Canada   ,0           ,0                 ,0               ,25                 ,25                           ,F
ELO        ,Materials             ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
OVS        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
REHN       ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
MED        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MNTN       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
ITM        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
KURN       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
NEAG       ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
TNIE       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
YSN        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
S92        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CMB        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BFSA       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
KIE        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ENGCONB    ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GUBRA      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BILIA      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
IVSO       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
RATOB      ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
DOU        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
VITB       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
OERL       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PUBLI      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
ELN        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ALMA       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ATT        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
NCH2       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
TIMA       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MONY       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BONEX      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PSM        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
JEN        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
VSVS       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AMBEA      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CIBUS      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
METSB      ,Materials             ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
JUVE       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
A3M        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ELM        ,Materials             ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BCG        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
LTA        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
MBB        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BFG        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ICGT       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
OVH        ,Information Technology,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
OCI        ,Financials            ,Latin America and Caribbean,0           ,5                 ,0               ,25                 ,30                           ,F
FLOW       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
FEVR       ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CGEO       ,Financials            ,Asia / Pacific             ,0           ,5                 ,0               ,25                 ,30                           ,F
PODR       ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ICOS       ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SL         ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PUUILO     ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CRBN       ,Materials             ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
M          ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AUTN       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AEDAS      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
TEL        ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
SLYG       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
NRO        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
POSR       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
CVSG       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
DYVOX      ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PPA        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PETS       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
NWG        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GROW       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
SENS       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
