"Date"   ;"D0";"D1"    ;"Value"
"2019-06";"M0";"HKD100";"12.63784"
"2019-06";"M0";"KRW100";"0.08428"
"2019-06";"M0";"MYR100";"23.75568"
"2019-06";"M0";"NZD1"  ;"0.65226"
"2019-06";"M0";"SGD1"  ;"0.72564"
"2019-06";"M0";"THB100";"3.17857"
"2019-06";"M0";"XDR1"  ;"1.36921"
"2019-06";"M0";"USD3M" ;"0.9808"
"2019-06";"M0";"USD6M" ;"0.9733"
"2019-06";"M1";"EUR1"  ;"1.10934"
"2019-06";"M1";"GBP1"  ;"1.23489"
"2019-06";"M1";"DKK100";"14.86308"
"2019-06";"M1";"NOK100";"11.43823"
"2019-06";"M1";"CZK100";"4.36194"
"2019-06";"M1";"HUF100";"0.34281"
"2019-06";"M1";"PLN100";"26.09022"
"2019-06";"M1";"RUB1"  ;"0.01544"
"2019-06";"M1";"SEK100";"10.51597"
"2019-06";"M1";"TRY100";"16.92206"
"2019-06";"M1";"USD1"  ;"0.974"
"2019-06";"M1";"CAD1"  ;"0.74368"
"2019-06";"M1";"ARS1"  ;"0.0228"
"2019-06";"M1";"BRL100";"25.49138"
"2019-06";"M1";"MXN100";"5.07575"
"2019-06";"M1";"ZAR1"  ;"0.06882"
"2019-06";"M1";"JPY100";"0.90474"
"2019-06";"M1";"AUD1"  ;"0.68292"
"2019-06";"M1";"CNY100";"14.18667"
"2019-06";"M1";"HKD100";"12.47614"
"2019-06";"M1";"KRW100";"0.08435"
"2019-06";"M1";"MYR100";"23.54477"
"2019-06";"M1";"NZD1"  ;"0.65326"
"2019-06";"M1";"SGD1"  ;"0.72009"
"2019-06";"M1";"THB100";"3.17543"
"2019-06";"M1";"XDR1"  ;"1.3571"
"2019-07";"M0";"EUR1"  ;"1.10792"
"2019-07";"M0";"GBP1"  ;"1.2315"
"2019-07";"M0";"DKK100";"14.84085"
"2019-07";"M0";"NOK100";"11.46412"
"2019-07";"M0";"CZK100";"4.3371"
"2019-07";"M0";"HUF100";"0.34059"
"2019-07";"M0";"PLN100";"26.00613"
"2019-07";"M0";"RUB1"  ;"0.01561"
"2019-07";"M0";"SEK100";"10.48997"
"2019-07";"M0";"TRY100";"17.39197"
"2019-07";"M0";"USD1"  ;"0.98737"
"2019-07";"M0";"CAD1"  ;"0.75388"
"2019-07";"M0";"ARS1"  ;"0.02328"
"2019-07";"M0";"BRL100";"26.09828"
"2019-07";"M0";"MXN100";"5.17961"
"2019-07";"M0";"ZAR1"  ;"0.07028"
"2019-07";"M0";"JPY100";"0.91245"
"2019-07";"M0";"AUD1"  ;"0.68962"
"2019-07";"M0";"CNY100";"14.35722"
"2019-07";"M0";"HKD100";"12.64003"
"2019-07";"M0";"KRW100";"0.08389"
"2019-07";"M0";"MYR100";"23.9396"
"2019-07";"M0";"NZD1"  ;"0.65978"
"2019-07";"M0";"SGD1"  ;"0.72547"
"2019-07";"M0";"THB100";"3.20629"
"2019-07";"M0";"XDR1"  ;"1.36457"
"2019-07";"M0";"USD3M" ;"0.9791"
"2019-07";"M0";"USD6M" ;"0.9708"
"2019-07";"M1";"EUR1"  ;"1.10402"
"2019-07";"M1";"GBP1"  ;"1.20466"
"2019-07";"M1";"DKK100";"14.78532"
"2019-07";"M1";"NOK100";"11.29978"
"2019-07";"M1";"CZK100";"4.30262"
"2019-07";"M1";"HUF100";"0.3375"
"2019-07";"M1";"PLN100";"25.72924"
"2019-07";"M1";"RUB1"  ;"0.01562"
"2019-07";"M1";"SEK100";"10.35112"
"2019-07";"M1";"TRY100";"17.87545"
"2019-07";"M1";"USD1"  ;"0.99055"
"2019-07";"M1";"CAD1"  ;"0.7533"
"2019-07";"M1";"ARS1"  ;"0.0226"
"2019-07";"M1";"BRL100";"26.13037"
"2019-07";"M1";"MXN100";"5.19766"
"2019-07";"M1";"ZAR1"  ;"0.06972"
"2019-07";"M1";"JPY100";"0.9124"
"2019-07";"M1";"AUD1"  ;"0.68284"
"2019-07";"M1";"CNY100";"14.38707"
"2019-07";"M1";"HKD100";"12.65507"
"2019-07";"M1";"KRW100";"0.08373"
"2019-07";"M1";"MYR100";"23.98717"
"2019-07";"M1";"NZD1"  ;"0.6546"
"2019-07";"M1";"SGD1"  ;"0.72329"
"2019-07";"M1";"THB100";"3.22162"
"2019-07";"M1";"XDR1"  ;"1.3626"
"2019-08";"M0";"EUR1"  ;"1.08933"
"2019-08";"M0";"GBP1"  ;"1.1889"
"2019-08";"M0";"DKK100";"14.60216"
"2019-08";"M0";"NOK100";"10.9152"
"2019-08";"M0";"CZK100";"4.22089"
"2019-08";"M0";"HUF100";"0.33325"
"2019-08";"M0";"PLN100";"25.04583"
"2019-08";"M0";"RUB1"  ;"0.01487"
"2019-08";"M0";"SEK100";"10.14683"
"2019-08";"M0";"TRY100";"17.31693"
"2019-08";"M0";"USD1"  ;"0.97886"
"2019-08";"M0";"CAD1"  ;"0.7375"
"2019-08";"M0";"ARS1"  ;"0.01909"
"2019-08";"M0";"BRL100";"24.34499"
"2019-08";"M0";"MXN100";"4.96763"
"2019-08";"M0";"ZAR1"  ;"0.06449"
"2019-08";"M0";"JPY100";"0.92194"
"2019-08";"M0";"AUD1"  ;"0.66226"
"2019-08";"M0";"CNY100";"13.84419"
"2019-08";"M0";"HKD100";"12.48356"
"2019-08";"M0";"KRW100";"0.08078"
"2019-08";"M0";"MYR100";"23.36141"
"2019-08";"M0";"NZD1"  ;"0.62871"
"2019-08";"M0";"SGD1"  ;"0.70644"
"2019-08";"M0";"THB100";"3.18281"
"2019-08";"M0";"XDR1"  ;"1.34496"
"2019-08";"M0";"USD3M" ;"0.9716"
"2019-08";"M0";"USD6M" ;"0.9635"
"2019-08";"M1";"EUR1"  ;"1.09136"
"2019-08";"M1";"GBP1"  ;"1.20313"
"2019-08";"M1";"DKK100";"14.63779"
"2019-08";"M1";"NOK100";"10.86911"
"2019-08";"M1";"CZK100";"4.2186"
"2019-08";"M1";"HUF100";"0.32959"
"2019-08";"M1";"PLN100";"24.8911"
"2019-08";"M1";"RUB1"  ;"0.01486"
