ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
BIM,bioMérieux S.A.,Europe,FR,ENXTPA,Health Care,Health Care Equipment and Supplies,94.7,116.0,38.0,24.59950442503349,8.193517577528743,11.423619078524029,100.0,3.00231301053155,117.99573069050672
IG,Italgas S.p.A.,Europe,IT,BIT,Utilities,Gas Utilities,11.0,10.0,2.8000000000000007,-5.437926885519298,5.336453323759765,-13.27186687165555,17.776,-1.019015168990186,10.401828042592877
SKFB,AB SKF (publ),Europe,SE,OM,Industrials,Machinery,259.3,270.0,105.0,0.9083408235835102,8.348868809822545,-13.822677054062709,56.732000000000006,0.10879807124467404,261.65532775555204
ZAB,Zabka Group S.A.,Europe,LU,WSE,Consumer Staples,Consumer Staples Distribution and Retail,22.03,27.0,14.399999999999999,21.904098572160756,13.382221365846341,-0.7388548213601445,94.358,1.6368058764939926,26.855472915447017
PMN,Phoenix Mecano AG,Europe,CH,SWX,Industrials,Electrical Equipment,433.0,473.8993,89.43889999999999,9.433173254224318,4.244648288470248,2.334511743566209,99.592,2.2223686423790814,473.8456401907913
CNA,Centrica plc,Europe,GB,LSE,Utilities,Multi-Utilities,1.926,2.0,0.5900000000000003,1.9453036078363604,6.283429319818071,-9.008099225346978,63.058,0.3095926617175164,1.9634665474869282
AKZA,Akzo Nobel N.V.,Europe,NL,ENXTAM,Materials,Chemicals,59.74,68.0,16.0,12.696324669388169,5.50586395434309,3.1983699362705877,99.574,2.305964109297172,67.32478435749249
LOGN,Logitech International S.A.,Europe,CH,SWX,Information Technology,Technology Hardware Storage and Peripherals,69.08,94.277,44.433499999999995,31.23720480997698,13.236701411121551,7.866144618454772,99.568,2.3598934386879273,90.6586610827321
PAH3,Porsche Automobil Holding SE,Europe,DE,XTRA,Consumer Discretionary,Automobiles,35.96,40.0,32.1,24.35995428536386,18.766495926468608,-3.1934989635201254,91.44200000000001,1.298055555006736,44.71983956101685
ANA,Acciona S.A.,Europe,ES,BME,Utilities,Electric Utilities,196.3,178.95,100.0,-10.246873727677535,10.412544625929204,-27.980366583214195,17.838,-0.9840892976497678,176.18538687256898
SKAB,Skanska AB (publ),Europe,SE,OM,Industrials,Construction and Engineering,274.2,272.5,60.0,-1.2335698594229936,4.481688770896369,-8.847818912507556,40.046,-0.2752466586777892,270.81755144546213
VSURE,Verisure plc,Europe,GB,OM,Industrials,Commercial Services and Supplies,9.62,18.375,2.5,90.13370173072317,5.328149948321016,81.01184923147997,100.0,16.91650997155696,18.290862106495567
HUH1V,Huhtamäki Oyj,Europe,FI,HLSE,Materials,Containers and Packaging,31.34,36.75,12.5,11.987862307526614,8.368474785874284,-3.2332028810534634,89.774,1.4325026500362694,35.09699604717884
YAR,Yara International ASA,Europe,NO,OB,Materials,Chemicals,465.5,445.0,232.0,-10.649473920797579,10.383441568131458,-29.5179243753382,15.898000000000001,-1.025620826285826,415.9266988986873
SHA0,Schaeffler AG,Europe,DE,XTRA,Consumer Discretionary,Automobile Components,10.5,8.8,6.5,-10.25496790996887,12.787713626371598,-29.88229845978198,22.474,-0.8019391276342359,9.423228369453268
GET,Getlink SE,Europe,FR,ENXTPA,Industrials,Transportation Infrastructure,17.77,17.7,7.5,-5.812213068959715,8.833566699244757,-21.81356694636611,28.708,-0.6579690024253331,16.737169737645857
EVO,Evolution AB (publ),Europe,SE,OM,Consumer Discretionary,Hotels Restaurants and Leisure,515.8,609.6817,571.2652999999999,38.36433797620287,23.749856643767206,5.006319679330749,98.30799999999999,1.6153502967046756,713.6832552812543
MRO,Melrose Industries PLC,Europe,GB,LSE,Industrials,Aerospace and Defense,6.698,7.4,4.1000000000000005,0.0007779434364399913,13.10869581188239,-24.12100464420799,54.674,5.934560139345241e-05,6.698052106651374
