ticker    ,name                                                            ,country,exchange,sector                ,industry                                             ,kalman_estimate   ,kalman_variance    ,kalman_gain       ,signal_strength   ,original_price,original_target,filtered_upside
AEE       ,Ameren Corporation                                              ,US     ,NYSE    ,Utilities             ,Multi-Utilities                                      ,110.9972727520659 ,0.09090917355296778,0.9090917355296769,10.999989988000012,110.97        ,111.0          ,0.02457668925466119
539006    ,PTC Industries Limited                                          ,IN     ,BSE     ,Materials             ,Metals and Mining                                    ,22584.30836992391 ,0.09090917355296778,0.9090917355296769,10.999989988000012,18377.35      ,23005.0        ,22.892083841924503
AZJ       ,Aurizon Holdings Limited                                        ,AU     ,ASX     ,Industrials           ,Ground Transportation                                ,3.4627271570258453,0.09090917355296778,0.9090917355296769,10.999989988000012,3.59          ,3.45           ,-3.545204539670043
2050      ,Savola Group Company                                            ,SA     ,SASE    ,Consumer Staples      ,Food Products                                        ,33.03000881810165 ,0.09090917355296778,0.9090917355296769,10.999989988000012,23.33         ,34.0           ,41.57740599272032
JBH       ,JB Hi-Fi Limited                                                ,AU     ,ASX     ,Consumer Discretionary,Specialty Retail                                     ,94.24365233043336 ,0.09090917355296778,0.9090917355296769,10.999989988000012,76.68         ,96.0           ,22.905128234785284
TWE       ,Treasury Wine Estates Limited                                   ,AU     ,ASX     ,Consumer Staples      ,Beverages                                            ,5.203636330578813 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5.24          ,5.2            ,-0.6939631568928916
S59       ,SIA Engineering Company Limited                                 ,SG     ,SGX     ,Industrials           ,Transportation Infrastructure                        ,3.9509095371860257,0.09090917355296778,0.9090917355296769,10.999989988000012,3.46          ,4.0            ,14.188136912890917
4631      ,DIC Corporation                                                 ,JP     ,TSE     ,Materials             ,Chemicals                                            ,4113.636239670548 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4250.0        ,4100.0         ,-3.2085590665753387
5108      ,Bridgestone Corporation                                         ,JP     ,TSE     ,Consumer Discretionary,Automobile Components                                ,3892.4546140489633,0.09090917355296778,0.9090917355296769,10.999989988000012,3817.0        ,3900.0         ,1.9768041406592434
DELTA     ,Delta Electronics (Thailand) Public Company Limited             ,TH     ,SET     ,Information Technology,Electronic Equipment Instruments and Components      ,192.81816074399325,0.09090917355296778,0.9090917355296769,10.999989988000012,216.0         ,190.5          ,-10.732332988892015
151       ,Want Want China Holdings Limited                                ,HK     ,SEHK    ,Consumer Staples      ,Food Products                                        ,5.657909725366133 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4.96          ,5.7277         ,14.070760592059125
ANN       ,Ansell Limited                                                  ,AU     ,ASX     ,Health Care           ,Health Care Equipment and Supplies                   ,35.3876400978173  ,0.09090917355296778,0.9090917355296769,10.999989988000012,31.28         ,35.7984        ,13.131841744940203
KPJ       ,KPJ Healthcare Berhad                                           ,MY     ,KLSE    ,Health Care           ,Health Care Providers and Services                   ,2.8900000909082646,0.09090917355296778,0.9090917355296769,10.999989988000012,2.79          ,2.9            ,3.58423264904174
NLMK      ,Public Joint Stock Company Novolipetsk Steel                    ,RU     ,MISX    ,Materials             ,Metals and Mining                                    ,142.63227693839147,0.09090917355296778,0.9090917355296769,10.999989988000012,138.0         ,143.0955       ,3.3567224191242544
