ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,distress_probability,liquidity_stress_score,cash_runway_months   ,altman_z_score,altman_z_trend,interest_coverage    ,quick_ratio        ,risk_level,confidence_interval                          ,data_quality_score
A310210   ,Voronoi Inc.                                                    ,Health Care           ,Biotechnology                                        ,KR     ,KOSDAQ  ,0.26                ,0.0                   ,1.8104738154613467   ,21.74         ,              ,41.89156626506024    ,15.706231454005934 ,Low       ,"(0.21000000000000002, 0.31)"                ,1.0
2503      ,Kirin Holdings Company Limited                                  ,Consumer Staples      ,Beverages                                            ,JP     ,TSE     ,0.63                ,15.0                  ,0.7226194620868219   ,2.06          ,-0.02         ,-20.74922371728523   ,0.8515940164196437 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
7911      ,TOPPAN Holdings Inc.                                            ,Industrials           ,Commercial Services and Supplies                     ,JP     ,TSE     ,0.73                ,0.0                   ,2.6412316888030456   ,2.27          ,0.08          ,-11.820590135688132  ,1.3975642082388866 ,Distressed,"(0.6799999999999999, 0.78)"                 ,1.0
7733      ,Olympus Corporation                                             ,Health Care           ,Health Care Equipment and Supplies                   ,JP     ,TSE     ,0.33                ,0.0                   ,2.126610664198761    ,3.93          ,0.24          ,-19.67796274276655   ,1.3478614948422514 ,Medium    ,"(0.28, 0.38)"                               ,1.0
5706      ,Mitsui Kinzoku Company Limited                                  ,Materials             ,Metals and Mining                                    ,JP     ,TSE     ,0.33                ,0.0                   ,0.735668594690635    ,3.0           ,-0.16         ,-31.497880072683223  ,1.0235592718892574 ,Medium    ,"(0.28, 0.38)"                               ,1.0
7912      ,Dai Nippon Printing Co. Ltd.                                    ,Industrials           ,Commercial Services and Supplies                     ,JP     ,TSE     ,0.63                ,0.0                   ,2.3438998418758095   ,2.64          ,0.08          ,-59.887250650477014  ,1.7395176196783633 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
COH       ,Cochlear Limited                                                ,Health Care           ,Health Care Equipment and Supplies                   ,AU     ,ASX     ,0.33                ,0.0                   ,1.1947459506017275   ,              ,              ,-39.59560723514212   ,1.4435535771747292 ,Medium    ,"(0.26, 0.4)"                                ,0.8
A003230   ,Samyang Foods Co. Ltd.                                          ,Consumer Staples      ,Food Products                                        ,KR     ,KOSE    ,0.4799999999999999  ,15.0                  ,2.1829933083074913   ,7.14          ,-1.93         ,-32.79746835443038   ,1.005056206199144  ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
4088      ,Air Water Inc.                                                  ,Materials             ,Chemicals                                            ,JP     ,TSE     ,0.63                ,15.0                  ,0.7165216005962906   ,2.02          ,-0.06         ,-12.530471255859856  ,1.0466140185010102 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
AKER      ,Aker ASA                                                        ,Industrials           ,Industrial Conglomerates                             ,NO     ,OB      ,0.99                ,0.0                   ,4.501477468603793    ,1.45          ,-0.04         ,-0.17260315999386408 ,0.8026426597397668 ,Distressed,"(0.94, 1)"                                  ,1.0
5105      ,Toyo Tire Corporation                                           ,Consumer Discretionary,Automobile Components                                ,JP     ,TSE     ,0.33                ,0.0                   ,1.8880178563349268   ,3.42          ,-0.39         ,-72.65430622009569   ,1.8427982181158225 ,Medium    ,"(0.28, 0.38)"                               ,1.0
AC        ,Air Canada                                                      ,Industrials           ,Passenger Airlines                                   ,CA     ,TSX     ,0.99                ,30.0                  ,0.0                  ,0.66          ,0.22          ,-0.825617350225467   ,0.5582580568196708 ,Distressed,"(0.94, 1)"                                  ,1.0
HUH1V     ,Huhtamäki Oyj                                                   ,Materials             ,Containers and Packaging                             ,FI     ,HLSE    ,0.63                ,0.0                   ,1.053204085497033    ,2.51          ,0.01          ,-4.664753456822332   ,0.9647628551757216 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
USFD      ,US Foods Holding Corp.                                          ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,US     ,NYSE    ,0.43                ,15.0                  ,0.012915758800829548 ,4.48          ,0.0           ,-4.363934426229508   ,0.6830966304650515 ,Medium    ,"(0.38, 0.48)"                               ,1.0
SAF       ,Safran SA                                                       ,Industrials           ,Aerospace and Defense                                ,FR     ,ENXTPA  ,0.7799999999999999  ,30.0                  ,3.239443627357175    ,2.19          ,-0.45         ,-53.31642029564522   ,0.657664393498099  ,Distressed,"(0.73, 0.8299999999999998)"                 ,1.0
TXNM      ,TXNM Energy Inc.                                                ,Utilities             ,Electric Utilities                                   ,US     ,NYSE    ,0.4799999999999999  ,30.0                  ,0.22826164321810719  ,              ,              ,-1.5973212601395963  ,0.3591590008671847 ,Medium    ,"(0.4099999999999999, 0.5499999999999999)"   ,0.8
ATMU      ,Atmus Filtration Technologies Inc.                              ,Industrials           ,Machinery                                            ,US     ,NYSE    ,0.33                ,0.0                   ,1.832913518052057    ,4.82          ,-0.31         ,-8.531791907514451   ,1.4077575757575758 ,Medium    ,"(0.28, 0.38)"                               ,1.0
UI        ,Ubiquiti Inc.                                                   ,Information Technology,Communications Equipment                             ,US     ,NYSE    ,0.4799999999999999  ,0.0                   ,1.8837165902917452   ,33.94         ,-15.71        ,-77.94319880418536   ,1.3000084118438762 ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
MG        ,Magna International Inc.                                        ,Consumer Discretionary,Automobile Components                                ,CA     ,TSX     ,0.63                ,15.0                  ,0.40008039796995126  ,2.32          ,0.18          ,-6.271293375394322   ,0.8333195123973796 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
