ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,earnings_quality_composite,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_itf,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
XRO       ,Xero Limited                                                                           ,Software                                             ,Asia / Pacific             ,10172.71  ,5                ,-0.3189675905982253  ,37.98599459968208 ,100.0              ,21.823989406438447 ,60                        ,23.86787936811872    ,100                    ,5.425987765305409  ,1.0                  ,0.0                    ,29.05341588834085  ,1                      ,0.0                ,                      ,8.969623338452077     ,0                      ,1915.1                 ,231.80865256336955 ,14.490641879160908  ,1.4586402266288951 ,89.34010152284264  ,0.5238095238095238,1                   ,30.33                 ,1                   ,0.751732479403571 ,0.0671340176687292     ,0.2377184305967688  ,18.54934210526316
3189      ,Kinsus Interconnect Technology Corp.                                                   ,Semiconductors and Semiconductor Equipment           ,Asia / Pacific             ,3866.11   ,5                ,1.3718118782031956   ,49.48380417273806 ,0.0                ,4.228296438883541  ,45                        ,-3.870967741935484   ,75                     ,0.7291566975590451 ,1.0                  ,0.0                    ,7.483877418387244  ,0                      ,55.13194168820999  ,6.620481499893474     ,0.0                   ,0                      ,1045.07                ,8.6611144036516    ,0.0                 ,0.8325123152709359 ,-4.055363740989764 ,0.4162848078956644,1                   ,0.0                   ,0                   ,0.0               ,0.8815147948890383     ,                    ,0.1675449754679265
LGEINDIA  ,LG Electronics India Limited                                                           ,Household Durables                                   ,Asia / Pacific             ,11365.74  ,3                ,0.0                  ,100.0             ,100.0              ,2.342018990262027  ,70                        ,42.21670802315964    ,50                     ,0.4752000309702667 ,1.0                  ,0.0                    ,0.0                ,0                      ,66.58942617325661  ,5.481350733528169     ,0.0                   ,0                      ,772.83                 ,10.76506334919452  ,0.0                 ,                   ,36.682725395732966 ,                  ,0                   ,0.0                   ,0                   ,0.0               ,0.6188426252646436     ,                    ,9.967997247075017
6789      ,VisEra Technologies Company Ltd.                                                       ,Semiconductors and Semiconductor Equipment           ,Asia / Pacific             ,3013.47   ,5                ,0.0351250582569519   ,49.42560119422612 ,100.0              ,17.24941360437842  ,90                        ,356.2931034482758    ,75                     ,2.1576455050158123 ,1.0                  ,0.0                    ,10.331320385180348 ,1                      ,11.32073366654766  ,32.24172661870504     ,0.0                   ,0                      ,590.5                  ,7.586634114346099  ,0.0                 ,0.7647058823529411 ,-49.39741953778534 ,0.4577464788732394,1                   ,0.0                   ,0                   ,0.0               ,0.4769948519948519     ,                    ,0.9737700269388913
NEOE3     ,Neoenergia S.A.                                                                        ,Electric Utilities                                   ,Latin America and Caribbean,7640.33   ,5                ,0.9120874826760162   ,49.86756469589215 ,100.0              ,1.7506607578574611 ,85                        ,-36.08564686436346   ,25                     ,5.835611812578776  ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                      ,3.4294947387850354    ,0                      ,3472.37                ,7.006779661016949  ,0.0                 ,1.1242647058823527 ,-74.87617884524052 ,0.2613324175824175,1                   ,0.0                   ,0                   ,0.0               ,0.1021567087537002     ,                    ,-6.153659767794043
PATANJALI ,Patanjali Foods Limited                                                                ,Food Products                                        ,Asia / Pacific             ,6257.95   ,1                ,0.3642590792406269   ,49.80083391801369 ,100.0              ,0.5397066714362369 ,60                        ,65.7954916693891     ,0                      ,-2.342460390383432 ,1.0                  ,0.0                    ,0.0                ,0                      ,77.04968683826776  ,4.737202900852258     ,0.0894788954490447    ,0                      ,1188.32                ,3.5158019443186173 ,0.0                 ,0.8940609951845906 ,40.63280599500416  ,                  ,0                   ,105.25                ,1                   ,5.282388191541152 ,0.9259004358797888     ,0.1504038004750593  ,15.897585345545378
ASHOKLEY  ,Ashok Leyland Limited                                                                  ,Machinery                                            ,Asia / Pacific             ,13362.9   ,4                ,1.4643849597421368   ,49.97956631044148 ,100.0              ,1.4777857116661957 ,70                        ,22.01308505284348    ,0                      ,-3.8753563971892326,1.0                  ,0.0                    ,0.0                ,0                      ,55.24330077270739  ,6.607135976573036     ,8.208345133074362     ,0                      ,1097.89                ,-0.9133491574985784,0.0                 ,1.3887424897227785 ,41.80388121140841  ,                  ,0                   ,18.24                 ,0                   ,0.1899372811269612,1.0411193603655053     ,13.991776315789473  ,1.365186709791238
RPRX      ,Royalty Pharma plc                                                                     ,Pharmaceuticals                                      ,United States and Canada   ,25543.2   ,7                ,0.2215357541346101   ,53.83842184195661 ,0.0                ,14.306022168894984 ,55                        ,-24.307605544442776  ,100                    ,9.416204704187418  ,1.0                  ,0.0                    ,17.107547747931775 ,1                      ,0.0                ,                      ,9.610679294782381     ,0                      ,5484.39                ,-20.98855251063928 ,0.0                 ,1.7778616732105104 ,                   ,                  ,0                   ,74.42                 ,0                   ,0.3846535533677085,0.0309412938632961     ,0.0                 ,
3036      ,WT Microelectronics Co. Ltd.                                                           ,Electronic Equipment Instruments and Components      ,Asia / Pacific             ,6263.57   ,5                ,0.8351929145882113   ,23.456225542400123,95.0               ,0.3379337921640826 ,90                        ,112.19586840091812   ,75                     ,20.01638043479996  ,1.0                  ,0.0                    ,0.0729162906544417 ,0                      ,72.63767975706179  ,5.024940240667791     ,33.21194219084036     ,0                      ,1671.3                 ,-9.505864007017315 ,0.0                 ,1.9805550127027556 ,1.8817204301075268 ,1.4840182648401825,0                   ,32.34                 ,1                   ,0.207202895458643 ,0.0366821250552085     ,0.4381570810142238  ,706.0524048815506
1876      ,Budweiser Brewing Company APAC Limited                                                 ,Beverages                                            ,Asia / Pacific             ,13965.42  ,0                ,-0.2582949689483203  ,49.99051764498522 ,100.0              ,0.0                ,45                        ,-14.788732394366196  ,25                     ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                      ,0.0                   ,0                      ,2316.0                 ,-10.371517027863776,0.0                 ,0.998463901689708  ,-23.895582329317268,0.0               ,1                   ,0.0                   ,1                   ,                  ,                       ,                    ,-1.2055335968379448
