ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,dividend_cut_probability,fcf_dividend_coverage,payout_ratio          ,dividend_streak,dividend_consistency,yield_vs_5y_avg      ,sustainable_flag,safety_score      ,risk_category
PTT       ,PTT Public Company Limited                                      ,Energy                ,Oil Gas and Consumable Fuels                         ,TH     ,SET     ,0.33999999999999997     ,2.835556349268358    ,0.7859276381292408    ,1              ,0.1                 ,0.7199471598414795   ,0               ,66.0              ,Monitor
TOP       ,Thai Oil Public Company Limited                                 ,Energy                ,Oil Gas and Consumable Fuels                         ,TH     ,SET     ,0.33999999999999997     ,10.515729358242183   ,0.2594750722089665    ,1              ,0.1                 ,0.4761092150170648   ,0               ,66.0              ,Monitor
QUB       ,Qube Holdings Limited                                           ,Industrials           ,Transportation Infrastructure                        ,AU     ,ASX     ,0.95                    ,-0.6917572716290308  ,                      ,1              ,0.1                 ,0.8894472361809045   ,0               ,5.000000000000004 ,At Risk
500002    ,ABB India Limited                                               ,Industrials           ,Electrical Equipment                                 ,IN     ,BSE     ,0.37                    ,                     ,                      ,1              ,0.1                 ,                     ,0               ,63.0              ,Borderline
NVG       ,The Navigator Company S.A.                                      ,Materials             ,Paper and Forest Products                            ,PT     ,ENXTLS  ,0.95                    ,0.3044197819314642   ,0.8177367352625085    ,1              ,0.1                 ,0.9008782936010038   ,0               ,5.000000000000004 ,At Risk
NEX       ,Nexans S.A.                                                     ,Industrials           ,Electrical Equipment                                 ,FR     ,ENXTPA  ,0.15                    ,5.245457253500149    ,                      ,6              ,0.6                 ,1.0971428571428572   ,1               ,85.0              ,Safe
HOT       ,HOCHTIEF Aktiengesellschaft                                     ,Industrials           ,Construction and Engineering                         ,DE     ,XTRA    ,0.39                    ,3.4078313713499466   ,0.6255887908567056    ,4              ,0.4                 ,0.3542600896860987   ,0               ,61.0              ,Borderline
TLS       ,Telstra Group Limited                                           ,Communication Services,Diversified Telecommunication Services               ,AU     ,ASX     ,0.15                    ,2.3158594505432      ,                      ,5              ,0.5                 ,0.9248704663212435   ,1               ,85.0              ,Safe
Z74       ,Singapore Telecommunications Limited                            ,Communication Services,Diversified Telecommunication Services               ,SG     ,SGX     ,0.52                    ,                     ,0.0                   ,1              ,0.1                 ,                     ,0               ,48.0              ,Borderline
WMT       ,Walmart Inc.                                                    ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,US     ,NasdaqGS,0.12                    ,2.086819797648346    ,0.3540124557786943    ,51             ,1.0                 ,0.5227272727272727   ,1               ,88.0              ,Safe
AZE       ,Azelis Group NV                                                 ,Industrials           ,Trading Companies and Distributors                   ,BE     ,ENXTBR  ,0.24000000000000002     ,5.567606306736741    ,                      ,2              ,0.2                 ,                     ,0               ,76.0              ,Monitor
JET2      ,Jet2 plc                                                        ,Industrials           ,Passenger Airlines                                   ,GB     ,AIM     ,0.42                    ,11.869882352941177   ,                      ,0              ,0.0                 ,2.032258064516129    ,0               ,58.00000000000001 ,Borderline
BESI      ,BE Semiconductor Industries N.V.                                ,Information Technology,Semiconductors and Semiconductor Equipment           ,NL     ,ENXTAM  ,0.5700000000000001      ,1.0327287066246058   ,1.1666474985623922    ,2              ,0.2                 ,0.45555555555555555  ,0               ,42.99999999999999 ,Borderline
MONC      ,Moncler S.p.A.                                                  ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,IT     ,BIT     ,0.030000000000000002    ,1.8910941108545034   ,                      ,6              ,0.6                 ,1.3655913978494625   ,1               ,97.0              ,Safe
BH        ,Bumrungrad Hospital Public Company Limited                      ,Health Care           ,Health Care Providers and Services                   ,TH     ,SET     ,0.33999999999999997     ,235.5483870967742    ,0.0040058580289455544 ,1              ,0.1                 ,1.2180094786729858   ,0               ,66.0              ,Monitor
TNE       ,Technology One Limited                                          ,Information Technology,Software                                             ,AU     ,ASX     ,0.33999999999999997     ,3.721858134155744    ,                      ,1              ,0.1                 ,1.1326530612244898   ,0               ,66.0              ,Monitor
PKN       ,Orlen S.A.                                                      ,Energy                ,Oil Gas and Consumable Fuels                         ,PL     ,WSE     ,0.5                     ,1.2858984759360763   ,0.8920019479929894    ,2              ,0.2                 ,1.9740820734341253   ,0               ,50.0              ,Borderline
REP       ,Repsol S.A.                                                     ,Energy                ,Oil Gas and Consumable Fuels                         ,ES     ,BME     ,0.37                    ,1.5171285029104935   ,0.42507123541262093   ,0              ,0.0                 ,1.1454545454545455   ,0               ,63.0              ,Borderline
TRUE      ,True Corporation Public Company Limited                         ,Communication Services,Diversified Telecommunication Services               ,TH     ,SET     ,0.27                    ,                     ,0.0                   ,2              ,0.2                 ,                     ,0               ,73.0              ,Monitor
BXB       ,Brambles Limited                                                ,Industrials           ,Commercial Services and Supplies                     ,AU     ,ASX     ,0.52                    ,1.695014111006585    ,                      ,1              ,0.1                 ,0.9367588932806324   ,0               ,48.0              ,Borderline
KBX       ,Knorr-Bremse AG                                                 ,Industrials           ,Machinery                                            ,DE     ,XTRA    ,0.39                    ,3.212801304899414    ,0.6312878990122421    ,3              ,0.3                 ,0.6833333333333333   ,0               ,61.0              ,Borderline
AHCS      ,Aamal Company Q.P.S.C.                                          ,Industrials           ,Industrial Conglomerates                             ,QA     ,DSM     ,0.27                    ,                     ,                      ,2              ,0.2                 ,                     ,0               ,73.0              ,Monitor
ALHG      ,Louis Hachette Group S.A.                                       ,Communication Services,Media                                                ,FR     ,ENXTPA  ,0.33999999999999997     ,46.368583558471634   ,                      ,0              ,0.0                 ,                     ,0               ,66.0              ,Monitor
MNDI      ,Mondi plc                                                       ,Materials             ,Paper and Forest Products                            ,GB     ,LSE     ,0.37                    ,                     ,                      ,1              ,0.1                 ,                     ,0               ,63.0              ,Borderline
DTC       ,Dubai Taxi Company P.J.S.C.                                     ,Industrials           ,Ground Transportation                                ,AE     ,DFM     ,0.37                    ,1.2488317757009346   ,1.066002490660025     ,1              ,0.1                 ,                     ,0               ,63.0              ,Borderline
APE       ,Eagers Automotive Limited                                       ,Consumer Discretionary,Specialty Retail                                     ,AU     ,ASX     ,0.49                    ,2.5026870939279697   ,                      ,1              ,0.1                 ,0.6072289156626506   ,0               ,51.0              ,Borderline
FDJU      ,FDJ United                                                      ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,FR     ,ENXTPA  ,0.35000000000000003     ,1.7675070656318694   ,                      ,4              ,0.4                 ,2.2054455445544554   ,0               ,64.99999999999999 ,Borderline
A007660   ,ISU Petasys Co. Ltd.                                            ,Information Technology,Electronic Equipment Instruments and Components      ,KR     ,KOSE    ,0.42000000000000004     ,                     ,0.0                   ,2              ,0.2                 ,0.325                ,0               ,57.99999999999999 ,Borderline
QEWS      ,Qatar Electricity & Water Company Q.P.S.C.                      ,Utilities             ,Multi-Utilities                                      ,QA     ,DSM     ,0.6699999999999999      ,0.9037071877538804   ,0.6255884870532848    ,1              ,0.1                 ,0.9360902255639098   ,0               ,33.00000000000001 ,At Risk
YTL       ,YTL Corporation Berhad                                          ,Utilities             ,Multi-Utilities                                      ,MY     ,KLSE    ,0.6                     ,-2.7400474335083858  ,                      ,5              ,0.5                 ,0.8423236514522822   ,0               ,40.0              ,Borderline
AF        ,Air France-KLM SA                                               ,Industrials           ,Passenger Airlines                                   ,FR     ,ENXTPA  ,0.33999999999999997     ,10.25954359028289    ,0.07804177438548976   ,1              ,0.1                 ,0.5088062622309197   ,0               ,66.0              ,Monitor
BAMNB     ,Koninklijke BAM Groep nv                                        ,Industrials           ,Construction and Engineering                         ,NL     ,ENXTAM  ,0.39                    ,3.2863176756687573   ,                      ,2              ,0.2                 ,0.9850187265917603   ,0               ,61.0              ,Borderline
ASMDEEB   ,Asmodee Group AB (publ)                                         ,Consumer Discretionary,Leisure Products                                     ,FR     ,OM      ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
NK        ,Imerys S.A.                                                     ,Materials             ,Construction Materials                               ,FR     ,ENXTPA  ,0.27                    ,                     ,                      ,2              ,0.2                 ,                     ,0               ,73.0              ,Monitor
5101      ,The Yokohama Rubber Company Limited                             ,Consumer Discretionary,Automobile Components                                ,JP     ,TSE     ,0.52                    ,1.2589726857462478   ,                      ,1              ,0.1                 ,0.5687732342007435   ,0               ,48.0              ,Borderline
UGPA3     ,Ultrapar Participações S.A.                                     ,Consumer Discretionary,Specialty Retail                                     ,BR     ,BOVESPA ,0.33999999999999997     ,3.4475598835907766   ,0.5267688679245283    ,1              ,0.1                 ,0.9613095238095238   ,0               ,66.0              ,Monitor
GFI       ,Gold Fields Limited                                             ,Materials             ,Metals and Mining                                    ,ZA     ,JSE     ,0.39                    ,3.478234704112337    ,                      ,2              ,0.2                 ,0.41365461847389556  ,0               ,61.0              ,Borderline
KIO       ,Kumba Iron Ore Limited                                          ,Materials             ,Metals and Mining                                    ,ZA     ,JSE     ,0.37                    ,1.7092198581560285   ,                      ,1              ,0.1                 ,0.7351145038167939   ,0               ,63.0              ,Borderline
