ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,current_streak,streak_type,continuation_probability,mean_reversion_probability,expected_next_outcome,prediction_confidence,dynamic_total_reports,historical_beat_rate,revision_momentum_score,next_earnings_status
MGNS      ,Morgan Sindall Group plc                                        ,Industrials           ,Construction and Engineering                         ,GB     ,LSE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
FGR       ,Eiffage SA                                                      ,Industrials           ,Construction and Engineering                         ,FR     ,ENXTPA  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
MTNN      ,MTN Nigeria Communications PLC                                  ,Communication Services,Wireless Telecommunication Services                  ,NG     ,NGSE    ,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,5                    ,0.0                 ,                       ,Confirmed
SK        ,SEB SA                                                          ,Consumer Discretionary,Household Durables                                   ,FR     ,ENXTPA  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
WKL       ,Wolters Kluwer N.V.                                             ,Industrials           ,Professional Services                                ,NL     ,ENXTAM  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
EOAN      ,E.ON SE                                                         ,Utilities             ,Multi-Utilities                                      ,DE     ,XTRA    ,4             ,beat       ,0.33930406249999995     ,0.6606959375000001        ,miss                 ,0.6                  ,6                    ,0.0                 ,                       ,Confirmed
FRE       ,Fresenius SE & Co. KGaA                                         ,Health Care           ,Health Care Providers and Services                   ,DE     ,XTRA    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
BID       ,Bid Corporation Limited                                         ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,ZA     ,JSE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
FER       ,Ferrovial SE                                                    ,Industrials           ,Construction and Engineering                         ,NL     ,BME     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
SDZ       ,Sandoz Group AG                                                 ,Health Care           ,Pharmaceuticals                                      ,CH     ,SWX     ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,5                    ,0.0                 ,                       ,Confirmed
LDO       ,Leonardo S.p.a.                                                 ,Industrials           ,Aerospace and Defense                                ,IT     ,BIT     ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,4                    ,0.0                 ,                       ,Confirmed
BEM       ,Bangkok Expressway and Metro Public Company Limited             ,Industrials           ,Transportation Infrastructure                        ,TH     ,SET     ,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Estimated
ALC       ,Alcon Inc.                                                      ,Health Care           ,Health Care Equipment and Supplies                   ,CH     ,SWX     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
GRUPOARGOS,Grupo Argos S.A.                                                ,Materials             ,Construction Materials                               ,CO     ,BVC     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Estimated
2689      ,Nine Dragons Paper (Holdings) Limited                           ,Materials             ,Paper and Forest Products                            ,CN     ,SEHK    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
NKT       ,NKT A/S                                                         ,Industrials           ,Electrical Equipment                                 ,DK     ,CPSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
OPM       ,OPmobility SE                                                   ,Consumer Discretionary,Automobile Components                                ,FR     ,ENXTPA  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
1212      ,Astra Industrial Group Company                                  ,Industrials           ,Industrial Conglomerates                             ,SA     ,SASE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Estimated
BAYN      ,Bayer Aktiengesellschaft                                        ,Health Care           ,Pharmaceuticals                                      ,DE     ,XTRA    ,1             ,beat       ,0.5525                  ,0.4475                    ,beat                 ,0.9                  ,6                    ,0.0                 ,                       ,Confirmed
GENM      ,Genting Malaysia Berhad                                         ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MY     ,KLSE    ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Estimated
GENTING   ,Genting Berhad                                                  ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MY     ,KLSE    ,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,5                    ,0.0                 ,                       ,Estimated
1686      ,SUNeVision Holdings Ltd.                                        ,Information Technology,IT Services                                          ,HK     ,SEHK    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
CRCL      ,Circle Internet Group Inc.                                      ,Information Technology,Software                                             ,US     ,NYSE    ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,4                    ,0.0                 ,                       ,Confirmed
CRM       ,Salesforce Inc.                                                 ,Information Technology,Software                                             ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
PSTG      ,Pure Storage Inc.                                               ,Information Technology,Technology Hardware Storage and Peripherals          ,US     ,NYSE    ,4             ,beat       ,0.33930406249999995     ,0.6606959375000001        ,miss                 ,0.6                  ,6                    ,0.0                 ,                       ,Estimated
TJX       ,The TJX Companies Inc.                                          ,Consumer Discretionary,Specialty Retail                                     ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
LOW       ,Lowe's Companies Inc.                                           ,Consumer Discretionary,Specialty Retail                                     ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
KNTK      ,Kinetik Holdings Inc.                                           ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
CHE       ,Chemed Corporation                                              ,Health Care           ,Health Care Providers and Services                   ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
TTD       ,The Trade Desk Inc.                                             ,Communication Services,Media                                                ,US     ,NasdaqGM,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
