ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,achievement_probability,upside_potential     ,price_target_spread_pct,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,expected_return_prob_weighted,confidence_level
HUT       ,Hut 8 Corp.                                                     ,Information Technology,Software                                             ,US     ,NasdaqGS,0.42000000000000004    ,33.65509560051977    ,41.666666666666664     ,100.0             ,4.86209              ,91.75                    ,14.135140152218305           ,Low
CHRD      ,Chord Energy Corporation                                        ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NasdaqGS,0.52                   ,20.564595177416194   ,47.15447154471545      ,76.47058823529412 ,-0.024115            ,85.25                    ,10.693589492256422           ,Low
AROC      ,Archrock Inc.                                                   ,Energy                ,Energy Equipment and Services                        ,US     ,NYSE    ,0.9                    ,-2.020820575627679   ,15.625                 ,88.88888888888889 ,0.03437              ,90.75                    ,-1.8187385180649112          ,High
ALKS      ,Alkermes plc                                                    ,Health Care           ,Biotechnology                                        ,IE     ,NasdaqGS,0.29000000000000004    ,35.70566948130278    ,62.22222222222222      ,82.3529411764706  ,0.04374              ,86.75                    ,10.354644149577807           ,Low
SM        ,SM Energy Company                                               ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.22999999999999998    ,32.805219012115565   ,101.75438596491227     ,38.46153846153846 ,-0.04738             ,71.25                    ,7.54520037278658             ,Low
APG       ,APi Group Corporation                                           ,Industrials           ,Construction and Engineering                         ,US     ,NYSE    ,0.82                   ,0.2026570592208962   ,17.97752808988764      ,90.9090909090909  ,0.00553              ,90.0                     ,0.16617878856113485          ,High
GHC       ,Graham Holdings Company                                         ,Consumer Discretionary,Diversified Consumer Services                        ,US     ,NYSE    ,0.9                    ,-5.926178050071855   ,0.0                    ,100.0             ,0.06213              ,0.0                      ,-5.33356024506467            ,Low
WHD       ,Cactus Inc.                                                     ,Energy                ,Energy Equipment and Services                        ,US     ,NYSE    ,0.85                   ,-8.659757597049008   ,26.923076923076923     ,62.5              ,-0.022685            ,75.0                     ,-7.360793957491657           ,Medium
EE        ,Excelerate Energy Inc.                                          ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.9                    ,-12.762906309751434  ,57.534246575342465     ,75.0              ,-0.022055            ,85.5                     ,-11.48661567877629           ,Low
GLNG      ,Golar LNG Limited                                               ,Energy                ,Oil Gas and Consumable Fuels                         ,BM     ,NasdaqGS,0.7000000000000001     ,16.25230202578269    ,24.752475247524753     ,87.5              ,-0.01575             ,90.75                    ,11.376611418047885           ,Medium
KGS       ,Kodiak Gas Services Inc.                                        ,Energy                ,Energy Equipment and Services                        ,US     ,NYSE    ,0.9                    ,-10.501193317422434  ,37.77777777777778      ,100.0             ,-0.088535            ,91.75                    ,-9.45107398568019            ,Low
MYRG      ,MYR Group Inc.                                                  ,Industrials           ,Construction and Engineering                         ,US     ,NasdaqGS,0.9                    ,-8.559956196386201   ,19.960079840319363     ,57.142857142857146,0.023985             ,78.5                     ,-7.703960576747582           ,High
DORM      ,Dorman Products Inc.                                            ,Consumer Discretionary,Automobile Components                                ,US     ,NasdaqGS,0.4                    ,31.508729130136466   ,20.28985507246377      ,87.5              ,0.01837              ,87.5                     ,12.603491652054586           ,Medium
TPH       ,Tri Pointe Homes Inc.                                           ,Consumer Discretionary,Household Durables                                   ,US     ,NYSE    ,0.85                   ,-18.050463661850333  ,39.473684210526315     ,50.0              ,-0.030545            ,70.75                    ,-15.342894112572782          ,Low
YOU       ,Clear Secure Inc.                                               ,Information Technology,Software                                             ,US     ,NYSE    ,0.32                   ,21.53846153846154    ,43.037974683544306     ,50.0              ,0.0669               ,68.75                    ,6.892307692307693            ,Low
HAYW      ,Hayward Holdings Inc.                                           ,Industrials           ,Building Products                                    ,US     ,NYSE    ,0.6499999999999999     ,7.719928186714542    ,27.77777777777778      ,10.0              ,0.0106               ,57.5                     ,5.017953321364452            ,Medium
LIVN      ,LivaNova PLC                                                    ,Health Care           ,Health Care Equipment and Supplies                   ,GB     ,NasdaqGS,0.8999999999999999     ,6.382978723404255    ,31.428571428571427     ,75.0              ,0.01078              ,84.0                     ,5.744680851063829            ,Medium
HNI       ,HNI Corporation                                                 ,Industrials           ,Commercial Services and Supplies                     ,US     ,NYSE    ,0.51                   ,42.914251449130525   ,13.986013986013987     ,50.0              ,0.00169              ,100.0                    ,21.88626823905657            ,High
GRBK      ,Green Brick Partners Inc.                                       ,Consumer Discretionary,Household Durables                                   ,US     ,NYSE    ,0.88                   ,-23.067378086611242  ,0.0                    ,0.0               ,-0.00062             ,50.0                     ,-20.299292716217895          ,Low
AVA       ,Avista Corporation                                              ,Utilities             ,Multi-Utilities                                      ,US     ,NYSE    ,0.83                   ,-9.470752089136491   ,33.333333333333336     ,0.0               ,-0.001015            ,54.25                    ,-7.860724233983287           ,Medium
CRGY      ,Crescent Energy Company                                         ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.53                   ,27.0772238514174     ,53.84615384615385      ,78.57142857142857 ,-0.040965            ,87.5                     ,14.350928641251222           ,Low
TVE       ,Tamarack Valley Energy Ltd.                                     ,Energy                ,Oil Gas and Consumable Fuels                         ,CA     ,TSX     ,0.87                   ,2.9718456725755997   ,25.31645569620253      ,90.0              ,0.0                  ,87.5                     ,2.5855057351407718           ,Medium
ARQT      ,Arcutis Biotherapeutics Inc.                                    ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,0.67                   ,19.876256767208044   ,25.806451612903224     ,87.5              ,0.0                  ,87.5                     ,13.31709203402939            ,Medium
CTRI      ,Centuri Holdings Inc.                                           ,Industrials           ,Construction and Engineering                         ,US     ,NYSE    ,0.75                   ,-9.706546275395034   ,50.0                   ,25.0              ,-0.07573             ,68.75                    ,-7.279909706546276           ,Low
CPRX      ,Catalyst Pharmaceuticals Inc.                                   ,Health Care           ,Biotechnology                                        ,US     ,NasdaqCM,0.42000000000000004    ,43.855322646937935   ,17.142857142857142     ,100.0             ,0.041605             ,100.0                    ,18.419235511713936           ,High
MGRC      ,McGrath RentCorp                                                ,Industrials           ,Trading Companies and Distributors                   ,US     ,NasdaqGS,0.56                   ,24.95749744984699    ,6.802721088435374      ,60.0              ,-0.00494             ,83.25                    ,13.976198571914315           ,High
