ticker    ,name                                                                            ,sector                ,industry                                             ,country,exchange,last_price,pt_median  ,pt_spread          ,expected_upside_pct  ,upside_std         ,var_5_pct             ,prob_positive_upside,risk_reward_ratio
REZI      ,Resideo Technologies Inc.                                                       ,Industrials           ,Building Products                                    ,US     ,NYSE    ,34.26     ,45.0       ,6.0                ,31.37593898087882    ,3.568481369715819  ,25.397954672985993    ,100.0               ,8.792518645929624
AFG       ,AF Gruppen ASA                                                                  ,Industrials           ,Construction and Engineering                         ,NO     ,OB      ,184.6     ,165.5      ,61.0               ,-10.424482310869003  ,6.755634002398563  ,-21.78419451608532    ,6.69                ,-1.5430797919437065
AC        ,Air Canada                                                                      ,Industrials           ,Passenger Airlines                                   ,CA     ,TSX     ,18.85     ,24.5       ,14.2               ,31.14723050890739    ,15.266720917080905 ,6.171852674327276     ,98.83               ,2.040204355478776
BRKR      ,Bruker Corporation                                                              ,Health Care           ,Life Sciences Tools and Services                     ,US     ,NasdaqGS,44.29     ,55.0       ,35.0               ,28.328174091053963   ,16.07076972621974  ,2.454889669187105     ,96.77               ,1.7627142055825773
AKER      ,Aker ASA                                                                        ,Industrials           ,Industrial Conglomerates                             ,NO     ,OB      ,888.0     ,837.5      ,305.0              ,-14.788616368395372  ,7.732387436419752  ,-29.202250861523428   ,0.0                 ,-1.9125550148639208
OCI       ,OCI N.V.                                                                        ,Materials             ,Chemicals                                            ,NL     ,ENXTAM  ,3.37      ,3.9023     ,2.0496000000000003 ,18.031012462823245   ,12.416681434192776 ,-1.984590445693296    ,92.36               ,1.4521603504435454
TOM       ,Tomra Systems ASA                                                               ,Industrials           ,Machinery                                            ,NO     ,OB      ,128.1     ,149.2811   ,83.04169999999999  ,17.715359122504022   ,13.23142458495605  ,-4.281126952291552    ,90.03               ,1.3388852431389848
NHY       ,Norsk Hydro ASA                                                                 ,Materials             ,Metals and Mining                                    ,NO     ,OB      ,86.32     ,82.0       ,53.0               ,-12.25359542259943   ,12.782639096650323 ,-35.18336317944258    ,18.41               ,-0.9586123280137411
SOON      ,Sonova Holding AG                                                               ,Health Care           ,Health Care Equipment and Supplies                   ,CH     ,SWX     ,211.5     ,225.0      ,140.0              ,10.999953184351726   ,13.556888280628025 ,-10.51680508984699    ,77.86               ,0.8113921835639817
BESQAB    ,Besqab AB (publ)                                                                ,Consumer Discretionary,Household Durables                                   ,SE     ,OM      ,28.9      ,33.5       ,1.5                ,14.199466453430999   ,1.2271880949322067 ,11.889937746182357    ,100.0               ,11.570733542860369
HEIJM     ,Koninklijke Heijmans N.V.                                                       ,Industrials           ,Construction and Engineering                         ,NL     ,ENXTAM  ,68.7      ,63.375     ,17.75              ,-7.756743686489613   ,5.273577555115847  ,-16.55715536800557    ,8.05                ,-1.4708693681701657
KALMAR    ,Kalmar Oyj                                                                      ,Industrials           ,Machinery                                            ,FI     ,HLSE    ,43.14     ,42.0       ,15.0               ,1.2981704634036717   ,7.231324444026458  ,-9.704841808534024    ,52.849999999999994  ,0.17952042858152278
NAS       ,Norwegian Air Shuttle ASA                                                       ,Industrials           ,Passenger Airlines                                   ,NO     ,OB      ,16.28     ,19.0       ,1.8000000000000007 ,14.25965980915196    ,2.411375732634526  ,9.752043957220456     ,100.0               ,5.913495610065174
FSTA      ,Fuller Smith & Turner P.L.C.                                                    ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,GB     ,LSE     ,6.74      ,8.275      ,5.25               ,38.43137506298429    ,16.733132954665283 ,15.223223119668146    ,100.0               ,2.2967232237445065
