ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
NYT       ,Communication Services,United States and Canada   ,86.94061248948161 ,100.0               ,50.0            ,100.0              ,32.0        ,76.5                         ,B
LMT       ,Industrials           ,United States and Canada   ,71.72727272727273 ,29.536977491961412  ,50.0            ,0.0                ,96.0        ,49.7                         ,D
ETN       ,Industrials           ,Europe                     ,82.48239436619718 ,41.733668341708544  ,50.0            ,80.11296443385403  ,68.0        ,63.3                         ,C
NEM       ,Materials             ,United States and Canada   ,91.37824474660074 ,100.0               ,50.0            ,94.36213622260134  ,4.0         ,72.6                         ,B
MDT       ,Health Care           ,Europe                     ,75.03798867246857 ,28.810182623132263  ,50.0            ,80.14573440314393  ,100.0       ,63.0                         ,C
CEG       ,Utilities             ,United States and Canada   ,92.03747072599532 ,0.0                 ,50.0            ,79.49677829204101  ,12.0        ,46.7                         ,D
COP       ,Energy                ,United States and Canada   ,78.30932012606934 ,36.782563570316555  ,50.0            ,87.94366659992093  ,8.0         ,53.2                         ,C
AVON      ,Industrials           ,Europe                     ,50.0              ,53.61111111111112   ,50.0            ,83.72325534893021  ,4.0         ,49.1                         ,D
PH        ,Industrials           ,United States and Canada   ,88.04429730663453 ,77.0193401592719    ,50.0            ,75.01571642729338  ,40.0        ,68.5                         ,B
CRWD      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,93.28204016404617  ,0.0         ,61.5                         ,C
CNR       ,Energy                ,United States and Canada   ,85.65668783388772 ,53.134223471539     ,50.0            ,96.31001810985352  ,4.0         ,59.7                         ,C
VRTX      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,96.46857749959582  ,0.0         ,62.0                         ,C
ARM       ,Information Technology,Europe                     ,100.0             ,50.0                ,50.0            ,98.06939381665991  ,0.0         ,62.2                         ,C
BMY       ,Health Care           ,United States and Canada   ,81.3102623514463  ,61.19576084783043   ,50.0            ,8.528673835125444  ,76.0        ,58.3                         ,C
SPOT      ,Communication Services,Europe                     ,100.0             ,50.0                ,50.0            ,90.37579994225706  ,0.0         ,61.1                         ,C
HCA       ,Health Care           ,United States and Canada   ,94.75061576354679 ,100.0               ,50.0            ,100.0              ,28.0        ,77.9                         ,B
WK        ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
MELI      ,Consumer Discretionary,Latin America and Caribbean,100.0             ,50.0                ,50.0            ,46.901468853865126 ,4.0         ,55.1                         ,C
ADP       ,Industrials           ,United States and Canada   ,70.43794740774662 ,37.513249082755806  ,50.0            ,48.36099867164538  ,100.0       ,59.2                         ,C
ABS       ,Information Technology,Europe                     ,56.13469985358711 ,31.662216288384514  ,50.0            ,95.94550656782417  ,52.0        ,54.1                         ,C
CMCSA     ,Communication Services,United States and Canada   ,85.31980245723922 ,85.98564102564103   ,50.0            ,66.17948297759024  ,76.0        ,74.2                         ,B
SBUX      ,Consumer Discretionary,United States and Canada   ,42.534741661379215,17.622862091361764  ,50.0            ,100.0              ,60.000004   ,49.0                         ,D
CVS       ,Health Care           ,United States and Canada   ,80.4970659302727  ,37.12684365781711   ,50.0            ,62.72648520494233  ,4.0         ,49.4                         ,D
CVNA      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,35.86354907940811  ,0.0         ,52.9                         ,C
PEY       ,Energy                ,United States and Canada   ,64.60404396593765 ,27.064808436224897  ,50.0            ,85.05448353762564  ,4.0         ,46.3                         ,D
MCK       ,Health Care           ,United States and Canada   ,96.02547211242863 ,100.0               ,50.0            ,100.0              ,76.0        ,85.4                         ,A
ENB       ,Energy                ,United States and Canada   ,35.25485638019309 ,10.623013035680462  ,50.0            ,49.719530858480724 ,4.0         ,29.5                         ,F
MO        ,Consumer Staples      ,United States and Canada   ,62.229508196721305,26.58564814814815   ,50.0            ,100.0              ,72.0        ,58.0                         ,C
AEM       ,Materials             ,United States and Canada   ,89.65627751873079 ,100.0               ,50.0            ,99.52420777631158  ,4.0         ,72.9                         ,B
EDR       ,Materials             ,United States and Canada   ,50.0              ,50.0                ,50.0            ,89.41954926624737  ,0.0         ,48.4                         ,D
NKE       ,Consumer Discretionary,United States and Canada   ,52.97147385103011 ,20.850884582982307  ,50.0            ,73.30020115962608  ,100.0       ,54.5                         ,C
GD        ,Industrials           ,United States and Canada   ,81.29300118623962 ,60.887761572606216  ,50.0            ,86.52697061471719  ,100.0       ,73.5                         ,B
ENEA      ,Information Technology,Europe                     ,100.0             ,50.0                ,50.0            ,93.61896080218779  ,4.0         ,62.1                         ,C
SNPS      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,83.18045803869406  ,0.0         ,60.0                         ,C
SO        ,Utilities             ,United States and Canada   ,68.07692307692308 ,0.0                 ,50.0            ,35.773632230757165 ,100.0       ,47.4                         ,D
74SW      ,Information Technology,United States and Canada   ,50.0              ,50.0                ,50.0            ,79.66654524984271  ,4.0         ,47.5                         ,D
DASH      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,88.5815453653064   ,0.0         ,60.8                         ,C
DUK       ,Utilities             ,United States and Canada   ,100.0             ,50.0                ,50.0            ,43.218626687188454 ,76.0        ,65.4                         ,B
LBRT      ,Energy                ,United States and Canada   ,22.502197480222684,0.0                 ,50.0            ,89.91815080737899  ,20.0        ,32.1                         ,F
